,establishment,type,month,value
369,Baldev,Addition,March,195.0
370,Baldev,Addition,April,149.0
371,Baldev,Addition,May,146.0
372,Baldev,Deletion,March,17.0
373,Baldev,Deletion,April,26.0
374,Baldev,Deletion,May,8.0
375,Baldev,Modification,March,137.0
376,Baldev,Modification,April,154.0
377,Baldev,Modification,May,138.0
378,Balha,Addition,March,196.0
379,Balha,Addition,April,146.0
380,Balha,Addition,May,102.0
381,Balha,Deletion,March,9.0
382,Balha,Deletion,April,18.0
383,Balha,Deletion,May,4.0
384,Balha,Modification,March,152.0
385,Balha,Modification,April,119.0
386,Balha,Modification,May,102.0
387,Ballia Nagar,Addition,March,232.0
388,Ballia Nagar,Addition,April,159.0
389,Ballia Nagar,Addition,May,195.0
390,Ballia Nagar,Deletion,March,37.0
391,Ballia Nagar,Deletion,April,51.0
392,Ballia Nagar,Deletion,May,36.0
393,Ballia Nagar,Modification,March,97.0
394,Ballia Nagar,Modification,April,109.0
395,Ballia Nagar,Modification,May,68.0
396,Balrampur,Addition,March,417.0
397,Balrampur,Addition,April,308.0
398,Balrampur,Addition,May,244.0
399,Balrampur,Deletion,March,12.0
400,Balrampur,Deletion,April,31.0
401,Balrampur,Deletion,May,14.0
402,Balrampur,Modification,March,194.0
403,Balrampur,Modification,April,210.0
404,Balrampur,Modification,May,137.0
405,Banda,Addition,March,249.0
406,Banda,Addition,April,245.0
407,Banda,Addition,May,132.0
408,Banda,Deletion,March,16.0
409,Banda,Deletion,April,50.0
410,Banda,Deletion,May,16.0
411,Banda,Modification,March,171.0
412,Banda,Modification,April,182.0
413,Banda,Modification,May,87.0
414,Bangermau,Addition,March,136.0
415,Bangermau,Addition,April,84.0
416,Bangermau,Addition,May,89.0
417,Bangermau,Deletion,March,14.0
418,Bangermau,Deletion,April,66.0
419,Bangermau,Deletion,May,5.0
420,Bangermau,Modification,March,118.0
421,Bangermau,Modification,April,92.0
422,Bangermau,Modification,May,48.0
423,Bansdih,Addition,March,295.0
424,Bansdih,Addition,April,288.0
425,Bansdih,Addition,May,241.0
426,Bansdih,Deletion,March,47.0
427,Bansdih,Deletion,April,77.0
428,Bansdih,Deletion,May,18.0
429,Bansdih,Modification,March,131.0
430,Bansdih,Modification,April,188.0
431,Bansdih,Modification,May,119.0
432,Bansgaon,Addition,March,234.0
433,Bansgaon,Addition,April,379.0
434,Bansgaon,Addition,May,176.0
435,Bansgaon,Deletion,March,11.0
436,Bansgaon,Deletion,April,124.0
437,Bansgaon,Deletion,May,22.0
438,Bansgaon,Modification,March,171.0
439,Bansgaon,Modification,April,178.0
440,Bansgaon,Modification,May,128.0
441,Bansi,Addition,March,342.0
442,Bansi,Addition,April,237.0
443,Bansi,Addition,May,233.0
444,Bansi,Deletion,March,37.0
445,Bansi,Deletion,April,29.0
446,Bansi,Deletion,May,7.0
447,Bansi,Modification,March,489.0
448,Bansi,Modification,April,218.0
449,Bansi,Modification,May,185.0
450,Bara,Addition,March,340.0
451,Bara,Addition,April,311.0
452,Bara,Addition,May,139.0
453,Bara,Deletion,March,6.0
454,Bara,Deletion,April,15.0
455,Bara,Deletion,May,8.0
456,Bara,Modification,March,159.0
457,Bara,Modification,April,147.0
458,Bara,Modification,May,115.0
459,Barabanki,Addition,March,92.0
460,Barabanki,Addition,April,84.0
461,Barabanki,Addition,May,75.0
462,Barabanki,Deletion,March,7.0
463,Barabanki,Deletion,April,19.0
464,Barabanki,Deletion,May,9.0
465,Barabanki,Modification,March,97.0
466,Barabanki,Modification,April,104.0
467,Barabanki,Modification,May,66.0
468,Barauli,Addition,March,228.0
469,Barauli,Addition,April,226.0
470,Barauli,Addition,May,568.0
471,Barauli,Deletion,March,27.0
472,Barauli,Deletion,April,114.0
473,Barauli,Deletion,May,285.0
474,Barauli,Modification,March,179.0
475,Barauli,Modification,April,169.0
476,Barauli,Modification,May,234.0
477,Baraut,Addition,March,316.0
478,Baraut,Addition,April,150.0
479,Baraut,Addition,May,185.0
480,Baraut,Deletion,March,40.0
481,Baraut,Deletion,April,68.0
482,Baraut,Deletion,May,15.0
483,Baraut,Modification,March,342.0
484,Baraut,Modification,April,180.0
485,Baraut,Modification,May,154.0
486,Bareilly,Addition,March,485.0
487,Bareilly,Addition,April,443.0
488,Bareilly,Addition,May,497.0
489,Bareilly,Deletion,March,75.0
490,Bareilly,Deletion,April,149.0
491,Bareilly,Deletion,May,22.0
492,Bareilly,Modification,March,247.0
493,Bareilly,Modification,April,288.0
494,Bareilly,Modification,May,239.0
495,Bareilly Cantt,Addition,March,220.0
496,Bareilly Cantt,Addition,April,272.0
497,Bareilly Cantt,Addition,May,224.0
498,Bareilly Cantt,Deletion,March,12.0
499,Bareilly Cantt,Deletion,April,64.0
500,Bareilly Cantt,Deletion,May,13.0
501,Bareilly Cantt,Modification,March,183.0
502,Bareilly Cantt,Modification,April,263.0
503,Bareilly Cantt,Modification,May,194.0
504,Barhaj,Addition,March,393.0
505,Barhaj,Addition,April,242.0
506,Barhaj,Addition,May,295.0
507,Barhaj,Deletion,March,17.0
508,Barhaj,Deletion,April,47.0
509,Barhaj,Deletion,May,16.0
510,Barhaj,Modification,March,267.0
511,Barhaj,Modification,April,242.0
512,Barhaj,Modification,May,191.0
513,Barhapur,Addition,March,138.0
514,Barhapur,Addition,April,111.0
515,Barhapur,Addition,May,121.0
516,Barhapur,Deletion,March,56.0
517,Barhapur,Deletion,April,78.0
518,Barhapur,Deletion,May,58.0
519,Barhapur,Modification,March,134.0
520,Barhapur,Modification,April,129.0
521,Barhapur,Modification,May,242.0
522,Barkhera,Addition,March,70.0
523,Barkhera,Addition,April,78.0
524,Barkhera,Addition,May,37.0
525,Barkhera,Deletion,March,6.0
526,Barkhera,Deletion,April,7.0
527,Barkhera,Deletion,May,74.0
528,Barkhera,Modification,March,63.0
529,Barkhera,Modification,April,72.0
530,Barkhera,Modification,May,53.0
531,Basti Sadar,Addition,March,143.0
532,Basti Sadar,Addition,April,121.0
533,Basti Sadar,Addition,May,109.0
534,Basti Sadar,Deletion,March,16.0
535,Basti Sadar,Deletion,April,27.0
536,Basti Sadar,Deletion,May,7.0
537,Basti Sadar,Modification,March,152.0
538,Basti Sadar,Modification,April,173.0
539,Basti Sadar,Modification,May,181.0
540,Behat,Addition,March,423.0
541,Behat,Addition,April,390.0
542,Behat,Addition,May,407.0
543,Behat,Deletion,March,38.0
544,Behat,Deletion,April,55.0
545,Behat,Deletion,May,44.0
546,Behat,Modification,March,230.0
547,Behat,Modification,April,240.0
548,Behat,Modification,May,244.0
549,Belthara Road,Addition,March,358.0
550,Belthara Road,Addition,April,211.0
551,Belthara Road,Addition,May,142.0
552,Belthara Road,Deletion,March,14.0
553,Belthara Road,Deletion,April,72.0
554,Belthara Road,Deletion,May,3.0
555,Belthara Road,Modification,March,199.0
556,Belthara Road,Modification,April,140.0
557,Belthara Road,Modification,May,162.0
558,Bhadohi,Addition,March,504.0
559,Bhadohi,Addition,April,481.0
560,Bhadohi,Addition,May,528.0
561,Bhadohi,Deletion,March,84.0
